Client_Id,product_group,revenue_month_count,revenue_monthly_overall,revenue_monthly_adjustment,revenue_monthly_discount
54443,14.0,12,289.0,8.0,41.0
30891,61.0,12,634.0,2.0,41.0
53960,76.0,1,749.0,8.0,41.0
54470,27.0,11,589.0,8.0,41.0
7196,46.0,12,142.0,8.0,41.0
7517,61.0,12,547.0,8.0,10.0
52864,77.0,1,503.0,8.0,41.0
31018,68.0,11,702.0,8.0,41.0
33046,15.0,4,299.0,3.0,41.0
31970,12.0,5,371.0,8.0,41.0
58933,25.0,12,145.0,8.0,35.0
17362,24.0,3,13.0,8.0,40.0
62503,76.0,1,747.0,8.0,41.0
7628,61.0,2,357.0,8.0,20.0
29722,66.0,2,58.0,8.0,37.0
33123,68.0,2,706.0,8.0,4.0
50523,50.0,1,656.0,8.0,41.0
36543,62.0,3,230.0,8.0,41.0
51174,48.0,2,362.0,8.0,24.0
24127,14.0,12,347.0,8.0,41.0
55715,65.0,1,3.0,8.0,41.0
33172,61.0,12,627.0,8.0,4.0
24031,61.0,1,572.0,8.0,6.0
53624,19.0,1,130.0,8.0,23.0
62325,66.0,12,97.0,8.0,33.0
13615,65.0,10,3.0,8.0,41.0
6944,65.0,1,3.0,8.0,21.0
20841,24.0,1,6.0,8.0,40.0
15376,14.0,6,290.0,8.0,41.0
31913,68.0,1,3.0,3.0,19.0
55937,14.0,1,451.0,8.0,41.0
33535,66.0,4,402.0,8.0,26.0
23264,66.0,12,3.0,8.0,41.0
48300,50.0,8,729.0,0.0,41.0
54666,42.0,12,154.0,8.0,41.0
21678,25.0,12,3.0,8.0,41.0
64287,62.0,4,185.0,8.0,41.0
13438,61.0,12,696.0,8.0,16.0
15120,15.0,7,188.0,8.0,41.0
28275,74.0,2,81.0,8.0,35.0
34563,74.0,2,122.0,8.0,33.0
65558,48.0,12,426.0,8.0,7.0
22586,61.0,12,720.0,8.0,15.0
64836,66.0,12,409.0,8.0,33.0
29661,74.0,11,116.0,8.0,38.0
12769,25.0,12,158.0,8.0,36.0
64877,44.0,1,79.0,8.0,41.0
23059,34.0,1,95.0,8.0,41.0
65485,14.0,12,371.0,8.0,41.0
30460,23.0,2,581.0,8.0,15.0
20153,62.0,12,142.0,8.0,41.0
31394,59.0,3,556.0,8.0,41.0
36745,66.0,12,219.0,8.0,23.0
8077,66.0,12,217.0,8.0,24.0
54429,61.0,12,514.0,8.0,24.0
60582,74.0,1,209.0,8.0,27.0
64921,76.0,1,714.0,8.0,41.0
45481,68.0,6,500.0,8.0,14.0
56027,0.0,1,601.0,8.0,41.0
29630,61.0,12,391.0,8.0,25.0
5655,14.0,3,290.0,8.0,41.0
17454,62.0,3,222.0,8.0,41.0
34848,66.0,1,289.0,8.0,22.0
26640,62.0,4,230.0,8.0,41.0
26985,12.0,2,621.0,10.0,41.0
60017,48.0,12,111.0,8.0,41.0
15894,12.0,3,261.0,8.0,41.0
53800,46.0,1,26.0,8.0,38.0
22550,25.0,12,3.0,8.0,41.0
5326,25.0,12,233.0,8.0,36.0
66402,14.0,1,273.0,8.0,41.0
15772,12.0,12,77.0,8.0,35.0
43752,52.0,1,3.0,8.0,41.0
2869,30.0,4,725.0,8.0,1.0
2774,34.0,1,95.0,8.0,41.0
52229,50.0,1,121.0,8.0,41.0
26607,65.0,1,3.0,8.0,41.0
25169,61.0,5,655.0,8.0,4.0
66879,61.0,12,653.0,2.0,0.0
59426,12.0,1,550.0,10.0,41.0
38468,77.0,2,185.0,8.0,41.0
59502,27.0,12,290.0,8.0,32.0
48943,53.0,5,712.0,8.0,41.0
63279,76.0,1,779.0,8.0,41.0
14047,25.0,12,449.0,8.0,33.0
22169,27.0,12,162.0,8.0,32.0
48769,52.0,1,3.0,8.0,41.0
17493,61.0,12,346.0,4.0,15.0
7505,12.0,2,174.0,8.0,41.0
5425,61.0,12,538.0,8.0,14.0
21314,19.0,12,517.0,8.0,20.0
31099,74.0,12,239.0,8.0,41.0
3752,61.0,1,508.0,8.0,9.0
40796,50.0,12,738.0,8.0,41.0
8530,61.0,3,415.0,8.0,14.0
57631,11.0,1,3.0,8.0,20.0
10205,76.0,1,397.0,8.0,23.0
62782,1.0,12,763.0,8.0,41.0
31050,72.0,8,723.0,8.0,41.0
34889,76.0,1,694.0,8.0,41.0
