OEWS_Major,Paychex_Code
11,1342
43,1338
19,189
15,1332
11,1816
13,1685
11,657
15,1846
13,554
15,1963
27,1570
13,1979
13,310
43,433
21,306
15,108
13,785
43,1400
35,1284
13,327
35,1503
11,553
41,775
25,918
19,1298
11,637
23,1857
49,1588
19,1949
43,543
39,1286
43,1311
19,1278
37,1909
13,650
27,842
11,817
13,838
13,12
19,1202
13,1145
15,822
11,1786
23,449
15,1785
17,1945
11,1647
13,91
11,535
13,565
11,1279
51,1657
41,1970
13,1333
11,700
13,558
17,357
43,1253
43,1090
41,520
11,43
43,235
29,1562
49,1288
47,1858
27,1083
47,797
47,734
33,1504
15,1933
31,1541
17,1194
25,1370
51,314
37,1397
43,960
13,1573
15,1022
43,1623
29,1505
11,1419
19,1990
11,1488
13,753
49,1341
51,890
51,64
35,582
31,304
29,856
27,564
27,792
11,1681
39,1774
43,483
47,239
47,1723
47,260
11,1299
51,1781
11,1079
17,653
51,1674
41,1285
41,1155
11,647
43,680
43,1059
43,1779
29,1532
29,28
11,328
31,1374
53,206
41,452
41,427
51,1749
35,732
35,1027
33,828
49,1611
41,594
43,787
43,917
11,1967
27,1074
43,524
43,1983
27,498
41,990
49,1020
49,104
47,847
53,958
51,711
51,421
17,204
11,708
15,1323
51,1021
43,860
51,724
51,1868
51,273
53,229
51,1000
53,1839
39,1001
39,628
43,94
39,689
27,784
27,182
35,702
35,891
35,372
35,871
15,779
15,907
15,308
27,641
43,1373
11,1384
47,209
47,394
41,155
17,585
15,975
51,110
15,1494
11,277
25,1743
27,923
29,561
29,1138
31,1237
11,1544
19,613
11,928
43,50
39,1737
25,1686
21,1706
21,1224
37,1048
29,1386
29,1270
17,1788
29,991
31,656
51,1402
49,131
53,326
51,142
25,1492
13,66
43,682
11,903
15,1790
19,489
17,1137
17,1646
17,301
33,266
27,1169
21,1621
39,627
41,956
51,764
53,742
51,1060
49,938
49,1046
49,1825
13,546
37,86
29,256
23,1586
29,948
31,717
29,221
29,1289
19,772
17,382
17,698
19,1750
51,807
19,1205
17,1776
53,1379
19,410
25,525
21,114
21,1124
39,1052
33,1421
53,912
39,1666
39,1984
27,103
29,1069
21,973
51,351
51,1241
39,63
25,1881
43,1309
39,336
13,824
11,1179
13,1780
35,218
49,1478
53,1720
33,1917
23,384
29,395
53,863
53,21
49,1361
43,1610
51,1565
17,309
51,440
51,119
37,1940
25,733
25,75
53,1327
27,42
39,112
43,1067
27,458
41,1035
53,226
45,1019
45,1357
45,1004
19,1930
43,668
45,478
43,1444
13,1520
27,895
25,35
25,261
43,1643
37,1029
47,1347
37,466
11,1937
31,1042
29,1164
